[gpu1] Starting: tau0.12_slots1_warmup0
Run:        pm3_tau0.12_slots1_warmup0
Device:     cuda
Epochs:     200
Batch size: 512
LR:         8.49e-04  (auto-scaled from 0.0003 at batch=64)
Output:     results/pm3_grid/pm3_tau0.12_slots1_warmup0.pkl
────────────────────────────────────────────────────────────
/global/homes/d/danieltm/.conda/envs/influencer/lib/python3.11/site-packages/torch/nn/modules/transformer.py:296: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at /opt/conda/conda-bld/pytorch_1682343970094/work/aten/src/ATen/NestedTensorImpl.cpp:177.)
  output = torch._nested_tensor_from_mask(output, src_key_padding_mask.logical_not(), mask_check=False)
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 100 | loss=1.0197 dist=0.8785 div=2.183 H=0.090 gd=0.680 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 101 | loss=1.0144 dist=0.8784 div=2.199 H=0.090 gd=0.658 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 102 | loss=1.0309 dist=0.8858 div=2.195 H=0.089 gd=0.704 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 103 | loss=1.0135 dist=0.8763 div=2.180 H=0.089 gd=0.695 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 104 | loss=1.0179 dist=0.8781 div=2.199 H=0.090 gd=0.721 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 105 | loss=1.0053 dist=0.8725 div=2.200 H=0.089 gd=0.700 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 106 | loss=1.0192 dist=0.8738 div=2.188 H=0.089 gd=0.674 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 107 | loss=1.0106 dist=0.8665 div=2.191 H=0.087 gd=0.629 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 108 | loss=1.0046 dist=0.8866 div=2.213 H=0.088 gd=0.711 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 109 | loss=1.0033 dist=0.8571 div=2.195 H=0.088 gd=0.680 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 110 | loss=0.9936 dist=0.8865 div=2.194 H=0.089 gd=0.755 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 111 | loss=0.9924 dist=0.8595 div=2.211 H=0.086 gd=0.700 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 112 | loss=0.9851 dist=0.8700 div=2.193 H=0.088 gd=0.735 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 113 | loss=0.9831 dist=0.8634 div=2.188 H=0.086 gd=0.681 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 114 | loss=0.9820 dist=0.8683 div=2.205 H=0.087 gd=0.741 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 115 | loss=0.9765 dist=0.8571 div=2.205 H=0.085 gd=0.689 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 116 | loss=0.9778 dist=0.8623 div=2.213 H=0.087 gd=0.704 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 117 | loss=0.9767 dist=0.8679 div=2.213 H=0.087 gd=0.785 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 118 | loss=0.9678 dist=0.8475 div=2.219 H=0.083 gd=0.716 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 119 | loss=0.9575 dist=0.8499 div=2.208 H=0.084 gd=0.695 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 120 | loss=0.9600 dist=0.8742 div=2.209 H=0.085 gd=0.732 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 121 | loss=0.9835 dist=0.8612 div=2.186 H=0.085 gd=0.792 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 122 | loss=0.9808 dist=0.8825 div=2.224 H=0.088 gd=0.730 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 123 | loss=0.9678 dist=0.8597 div=2.206 H=0.088 gd=0.682 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 124 | loss=0.9641 dist=0.8515 div=2.217 H=0.087 gd=0.732 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 125 | loss=0.9606 dist=0.8450 div=2.221 H=0.087 gd=0.690 lr=8.49e-04
  [PM3 tau=0.12 | slotted=True | warmup_cosine=False] epoch 126 | loss=0.9674 dist=0.8503 div=2.229 H=0.085 gd=0.714 lr=8.49e-04
